SampleName	TotalReads	UserFilteredReads	VJcombos	aaCDR3	totCDR3	ntCDR3	Median_AAperVJ	Median_VJperAA	H_vj	H_aa	H_tot	H_nt	H_delta	Mean_Haa_perVJ	Mean_Hvj_perAA	Hmax_vj	Hmax_aa	Hmax_tot	Hmax_nt	FiltUnprodAA	FiltNotransAA	FiltUnresolvedVJ	FiltAmbigNT	RefDate	AnalysisNotes
Pt37_pre_S0101353	26162	22464	557	7460	7554	7523	9.0	1.0	7.54688468177	10.4487612569	10.4819294705	10.464221596	2.93504478875	2.47088706899	0.00600053877208	9.12153351734	12.8649599151	12.8830250684	12.877092375	92_aaCDR3,212_reads	1278_aaCDR3,3486_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:22:22	 TCRseq_sample_report.py Pt37_pre_S0101353.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt44_pre_S0087105	35122	30132	539	5797	5988	5870	7.0	1.0	7.62574857144	10.294560801	10.3436388781	10.3136134534	2.71789030669	1.98955270132	0.0122075218055	9.07414146275	12.5010907703	12.5478585061	12.519144788	120_aaCDR3,449_reads	1299_aaCDR3,4541_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:22:52	 TCRseq_sample_report.py Pt44_pre_S0087105.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt47_pre_S0088566	63796	51363	581	11743	12013	11857	12.0	1.0	7.90347788904	11.2131668816	11.2496027544	11.2241364265	3.34612486538	2.6523911587	0.0110587240648	9.1823943534	13.5195134023	13.552308859	13.533451412	267_aaCDR3,1621_reads	2762_aaCDR3,10812_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:23:20	 TCRseq_sample_report.py Pt47_pre_S0088566.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt48_pre_S0089502	31237	24652	579	8510	8709	8616	8.0	1.0	7.97757682299	11.465366469	11.5091651144	11.5062381976	3.53158829142	2.48815028435	0.0135778008058	9.17741953799	13.0549434166	13.0882913573	13.0728025345	215_aaCDR3,488_reads	2341_aaCDR3,6097_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:23:36	 TCRseq_sample_report.py Pt48_pre_S0089502.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt52_pre_S0088568	58561	47555	619	17853	18186	18095	15.0	1.0	8.08312894307	12.7382912146	12.78250543	12.7636533635	4.69937648694	3.11646932074	0.0116279722983	9.27379559921	14.1238789032	14.1505406375	14.1433034873	393_aaCDR3,792_reads	4110_aaCDR3,10214_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:24:26	 TCRseq_sample_report.py Pt52_pre_S0088568.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt59_pre_S0101354	92976	75678	618	13894	14408	14011	14.0	1.0	7.52390988418	10.3149908355	10.3840073174	10.329805018	2.8600974332	2.69678890592	0.0127785206269	9.2714630279	13.762174382	13.8145824659	13.7742723077	363_aaCDR3,2258_reads	3452_aaCDR3,15040_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:25:40	 TCRseq_sample_report.py Pt59_pre_S0101354.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt67_pre_S0088560	64828	45883	579	11474	11674	11604	11.0	1.0	7.10469221907	10.0793101519	10.1158326117	10.0986631095	3.01114039268	2.70498797707	0.00865525712085	9.17741953799	13.4860808027	13.5110113529	13.5023345802	202_aaCDR3,565_reads	2337_aaCDR3,18380_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:26:12	 TCRseq_sample_report.py Pt67_pre_S0088560.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt70_pre_S0101386	67223	56277	563	8852	9228	8931	9.0	1.0	7.07492767964	9.30231037818	9.3695504667	9.31102437382	2.29462278706	2.29698969485	0.0175863487025	9.13699111208	13.1117877358	13.1718022887	13.124606007	179_aaCDR3,1350_reads	1921_aaCDR3,9596_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:26:52	 TCRseq_sample_report.py Pt70_pre_S0101386.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt71_pre_S0088555	15671	13033	531	4023	4119	4055	5.0	1.0	7.4037719418	9.59899953564	9.6477066071	9.60631346011	2.2439346653	1.81482338271	0.00983527639261	9.0525680508	11.9740560226	12.0080784109	11.9854861991	87_aaCDR3,141_reads	1099_aaCDR3,2497_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:27:0	 TCRseq_sample_report.py Pt71_pre_S0088555.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt82_pre_S0088558	85065	68252	629	22681	23327	22995	18.0	1.0	8.19587684665	12.9151527374	12.96583115	12.9512204225	4.76995430332	3.35466623367	0.0173022190155	9.29691620688	14.4691966293	14.5097131591	14.4890325773	543_aaCDR3,1266_reads	5657_aaCDR3,15547_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:30:19	 TCRseq_sample_report.py Pt82_pre_S0088558.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt84_pre_S0096386	737	494	236	384	391	384	1.0	1.0	7.54520393152	8.37944247266	8.42033261627	8.37944247266	0.87512868475	0.51089264958	0.0151187168273	7.88264304936	8.58496250072	8.61102479731	8.58496250072	13_aaCDR3,13_reads	207_aaCDR3,230_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:30:20	 TCRseq_sample_report.py Pt84_pre_S0096386.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt89_pre_S0101370	35122	28320	586	10098	10228	10201	10.0	1.0	7.96114753757	11.3438085075	11.3695253648	11.362260157	3.40837782727	2.69011051457	0.00790193401565	9.19475685442	13.3017819621	13.3202364452	13.3164229655	226_aaCDR3,691_reads	2622_aaCDR3,6111_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:30:54	 TCRseq_sample_report.py Pt89_pre_S0101370.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt92_pre_S0101401	186562	154047	657	38637	41589	39384	31.0	1.0	8.0414783779	12.5967323846	12.7300170556	12.6292799942	4.68853867766	3.63262942019	0.0400935190293	9.35974956032	15.2376954589	15.3439143756	15.2653220242	740_aaCDR3,2305_reads	8620_aaCDR3,30210_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:36:1	 TCRseq_sample_report.py Pt92_pre_S0101401.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt93_pre_S0101368	17760	14258	529	4489	4617	4530	6.0	1.0	8.02093206158	10.7885414274	10.8392622367	10.80422973	2.81833017508	1.95929809356	0.0140712415981	9.04712391211	12.1321783809	12.172740017	12.1452953349	113_aaCDR3,374_reads	1046_aaCDR3,3128_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:36:4	 TCRseq_sample_report.py Pt93_pre_S0101368.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt94_pre_S0096358	89470	73105	656	38591	39930	39313	30.0	1.0	8.22633285508	13.9115558338	13.9837563358	13.9541907195	5.75742348077	4.15319245067	0.0272657199923	9.35755200462	15.2359768081	15.2851854515	15.2627188405	749_aaCDR3,1234_reads	8680_aaCDR3,15131_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:38:27	 TCRseq_sample_report.py Pt94_pre_S0096358.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt101_pre_S0101369	238297	191882	690	123499	129414	127452	80.0	1.0	8.30121708779	16.368360232	16.4716175519	16.4379010303	8.17040046407	5.60397922207	0.0396674913042	9.43045255167	16.9141398345	16.9816341709	16.959594487	2769_aaCDR3,3744_reads	29865_aaCDR3,42671_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:8:23	 TCRseq_sample_report.py Pt101_pre_S0101369.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt103_pre_S0101384	187296	149089	654	24532	27223	25080	21.0	1.0	7.86061344672	11.4076002311	11.5714620248	11.4436931796	3.71084857806	3.03672574153	0.0488960003544	9.3531468255	14.5823772356	14.7325384415	14.6142497277	705_aaCDR3,2443_reads	7657_aaCDR3,35764_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:9:29	 TCRseq_sample_report.py Pt103_pre_S0101384.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
pt106_pre_S0101363	17778	14574	498	4670	4995	4748	6.0	1.0	7.66438159266	10.3864841645	10.5162492504	10.4260872151	2.85186765769	2.06154037883	0.0392433695631	8.96000193207	12.1892068346	12.2862689627	12.2131042196	109_aaCDR3,252_reads	1295_aaCDR3,2952_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:38:35	 TCRseq_sample_report.py pt106_pre_S0101363.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt108_pre_S0101409	15616	13189	525	5474	5682	5536	6.0	1.0	7.6405468856	10.624781106	10.7000519264	10.6466075985	3.05950504079	2.21206455353	0.02432581094	9.03617361255	12.4183797194	12.4721831162	12.4346282276	126_aaCDR3,226_reads	1242_aaCDR3,2201_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:9:39	 TCRseq_sample_report.py Pt108_pre_S0101409.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
